Threshold,N,Coverage,MAE,RMSE,R2,MBE
all_test,352,1.0,0.5845210527684089,0.7661726016955455,0.7680674666218033,0.024395177638949595
0.2,347,0.9857954545454546,0.5791717605695332,0.7588287642154524,0.771198186971332,0.02084179142221204
0.3,318,0.9034090909090909,0.5697486447385766,0.7389487765743664,0.7653869482714112,-0.02190010515866808
0.4,301,0.8551136363636364,0.5585099752486369,0.7181537170702535,0.7628883848004853,-0.05477990359466167
0.5,290,0.8238636363636364,0.5649749112943018,0.7241498599998409,0.7432753440354605,-0.06759123753480155
0.6,267,0.7585227272727273,0.5529556116797226,0.7037897755637613,0.7403954560406414,-0.08769943273239209
0.7,242,0.6875,0.5295295305346686,0.6688146509267792,0.751576182364131,-0.08003255902013319
0.8,169,0.48011363636363635,0.5231636342871246,0.6650355969552513,0.7393560268885193,-0.13696233889122572
