Model,R2,RMSE,TimeTaken_sec,BenchmarkSource
CatBoostRegressor,0.8078011088112675,0.6974630756738447,52.65217661857605,LazyPredict
ExtraTreesRegressor,0.8004447619578258,0.7106853247901098,36.81827902793884,LazyPredict
HistGradientBoostingRegressor,0.7918246046294964,0.7258727297829066,3.8279333114624023,LazyPredict
SVR,0.7894195480071238,0.7300537035034614,1.3732430934906006,LazyPredict
LGBMRegressor,0.7836376827188837,0.740008304980182,2.2854151725769043,LazyPredict
NuSVR,0.7831047809132362,0.7409190671745984,1.079160451889038,LazyPredict
PoissonRegressor,0.7765271893748269,0.7520697613816054,1.5468230247497559,LazyPredict
LassoCV,0.774240757130662,0.7559073211989555,149.3304693698883,LazyPredict
ElasticNetCV,0.7739985817992033,0.7563126490975688,225.85599303245544,LazyPredict
RandomForestRegressor,0.7728410405885214,0.7582470283914435,122.23052215576172,LazyPredict
BayesianRidge,0.768327965051366,0.7657422118095257,0.8132920265197754,LazyPredict
GradientBoostingRegressor,0.7661772713638428,0.7692883291574856,48.533822774887085,LazyPredict
HuberRegressor,0.7649156493335082,0.7713609365653881,0.9999275207519531,LazyPredict
XGBRegressor,0.7556554818805113,0.7864064768839395,9.570421695709229,LazyPredict
RidgeCV,0.748358424080795,0.7980626387913804,0.6270031929016113,LazyPredict
BaggingRegressor,0.741906018696445,0.8082295413958226,12.559039115905762,LazyPredict
OrthogonalMatchingPursuit,0.7415794748458859,0.808740671020993,0.11365485191345215,LazyPredict
GammaRegressor,0.7342058519906102,0.8201975904677826,0.9243667125701904,LazyPredict
TweedieRegressor,0.7288898824816061,0.8283590937583168,0.5391826629638672,LazyPredict
OrthogonalMatchingPursuitCV,0.7276600954278489,0.830235734641336,0.3587300777435303,LazyPredict
KNeighborsRegressor,0.7164791868859142,0.8471069688563816,0.15020346641540527,LazyPredict
LassoLarsCV,0.6852112197231499,0.8925969614314847,2.484236478805542,LazyPredict
AdaBoostRegressor,0.655243183739851,0.9341190143770313,14.09390377998352,LazyPredict
LassoLarsIC,0.6467426205130818,0.9455650319917867,0.5271611213684082,LazyPredict
Ridge,0.5731334475002114,1.039421857111766,0.11593365669250488,LazyPredict
DecisionTreeRegressor,0.5650157605642316,1.0492586121413436,1.964383840560913,LazyPredict
ExtraTreeRegressor,0.5539193620701499,1.062557566495957,0.4589426517486572,LazyPredict
PassiveAggressiveRegressor,0.4958025578617984,1.1296557070710078,0.25723719596862793,LazyPredict
MLPRegressor,0.48777729476322507,1.1386105261282726,2.0317201614379883,LazyPredict
LinearSVR,0.4749214734006565,1.1528104659872618,4.188711166381836,LazyPredict
ElasticNet,0.1862114689232014,1.4351641066167349,0.09486603736877441,LazyPredict
QuantileRegressor,-0.005783646601172254,1.59550462215998,1.9108853340148926,LazyPredict
DummyRegressor,-0.006571497261981696,1.5961293953452145,0.0596163272857666,LazyPredict
LassoLars,-0.006571497261981696,1.5961293953452145,0.11008715629577637,LazyPredict
Lasso,-0.006571497261981696,1.5961293953452145,0.1002647876739502,LazyPredict
GaussianProcessRegressor,-16.31737822489084,6.620439983175804,5.461040496826172,LazyPredict
KernelRidge,-17.284444505946492,6.802783772048486,0.13608765602111816,LazyPredict
LinearRegression,-115891.22037439805,541.5928515250323,0.43738317489624023,LazyPredict
TransformedTargetRegressor,-115891.22037439805,541.5928515250323,0.407423734664917,LazyPredict
RANSACRegressor,-115891.5110606145,541.5935307487008,11.776507139205933,LazyPredict
LarsCV,-1.6056770397041085e+24,2015927365575.6206,17.799089431762695,LazyPredict
Lars,-1.6056770397041085e+24,2015927365575.6206,0.36077260971069336,LazyPredict
SGDRegressor,-2.1273709987069962e+24,2320424268243.9624,0.29308128356933594,LazyPredict
