parent_smiles,parent_chembl_id,pStandard,pStandard_mean,pStandard_std,pStandard_min,pStandard_max,n_measurements,n_assays,pStandard_range,activity_conflict,MolWt,MolLogP,HBD,HBA,Lipinski_violations,passes_Lipinski
Clc1ccc(Cn2nnc(-c3cn(Cc4ccccc4)c4ccccc34)n2)cc1,CHEMBL5409715,6.96,6.96,0.0,6.96,6.96,1,1,0.0,False,399.8850000000001,5.044800000000004,0,3,1,False
Clc1ccc(Cn2nnc(-c3cn(Cc4ccccc4)c4ccccc34)n2)cc1Cl,CHEMBL5430117,8.23,8.23,0.0,8.23,8.23,1,1,0.0,False,434.33000000000015,5.6982000000000035,0,3,1,False
Cn1cc(NC(=O)c2cc(NC(=O)CCS(C)(=O)=O)cn2C)cc1C(=O)NCC(=O)NCCCCCC[C@@H]1Cc2cc(O)ccc2[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@H]12,CHEMBL5071091,9.0,9.0,0.0,9.0,9.0,1,1,0.0,False,807.0269999999999,4.634500000000004,6,8,2,False
Cn1cc(NC(=O)c2cc(NC(=O)CCS(C)(=O)=O)cn2C)cc1C(=O)NCCC(=O)NCCCCCC[C@@H]1Cc2cc(O)ccc2[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@H]12,CHEMBL5072592,8.83,8.83,0.0,8.83,8.83,1,1,0.0,False,821.0539999999999,5.024600000000004,6,8,3,False
Cn1cc(NC(=O)c2cc(NC(=O)CCS(C)(=O)=O)cn2C)cc1C(=O)NCCCC(=O)NCCCCCC[C@@H]1Cc2cc(O)ccc2[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@H]12,CHEMBL1818254,8.96,8.96,0.0,8.96,8.96,2,2,0.0,False,835.0809999999998,5.414700000000005,6,8,3,False
N#Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,CHEMBL3657171,7.96,7.96,0.0,7.96,7.96,2,2,0.0,False,467.5690000000003,5.504180000000005,2,5,1,False
N#Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,CHEMBL3657172,7.64,7.64,0.0,7.64,7.64,2,2,0.0,False,481.59600000000034,5.8942800000000055,2,5,1,False
N#Cc1c(NC(=O)CSc2ncccn2)oc(-c2ccccc2)c1-c1ccccc1,CHEMBL1548231,5.02,5.02,0.0,5.02,5.02,1,1,0.0,False,412.4740000000001,5.006080000000003,1,6,1,False
N#Cc1nc(-c2ccc(OCc3ccc(Cl)cc3)cc2)oc1NCc1cccnc1,CHEMBL1539865,4.43,4.43,0.0,4.43,4.43,1,1,0.0,False,416.8680000000001,5.452780000000004,1,6,1,False
NC(=O)C1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1,CHEMBL184491,8.66,8.66,0.0,8.66,8.66,1,1,0.0,False,506.62400000000025,4.6410000000000045,3,7,1,False
