parent_smiles,parent_chembl_id,pStandard,pStandard_mean,pStandard_std,pStandard_min,pStandard_max,n_measurements,n_assays,pStandard_range,activity_conflict,MolWt,MolLogP,HBD,HBA,Lipinski_violations,passes_Lipinski
CCCCC12CCC(=O)C(C3CC3)=C1c1ccc3[nH]ncc3c1C2,CHEMBL379543,6.38,6.38,0.0,6.38,6.38,1,1,0.0,False,320.4360000000001,4.822100000000004,1,2,0,True
CCCCC12CCC(=O)C(CC)=C1c1ccc(O)cc1C2,CHEMBL209803,6.58,6.58,0.0,6.58,6.58,1,1,0.0,False,284.39900000000006,4.651400000000005,1,2,0,True
CCCCC12CCC(=O)C(CCC)=C1c1ccc(O)cc1C2,CHEMBL209402,7.52,7.52,0.0,7.52,7.52,1,1,0.0,False,298.42600000000004,5.041500000000005,1,2,1,False
CCCCC12CCC(=O)C(CCC)=C1c1ccc3[nH]nnc3c1C2,CHEMBL380188,5.9,5.9,0.0,5.9,5.9,1,1,0.0,False,323.44000000000005,4.607200000000004,1,3,0,True
CCCCC12CCC(=O)C(Cl)=C1c1ccc(O)cc1C2,CHEMBL379109,6.94,6.94,0.0,6.94,6.94,1,1,0.0,False,290.7900000000001,4.437700000000004,1,2,0,True
CCCCC12CCC(=O)C(I)=C1c1ccc(O)cc1C2,CHEMBL379821,6.91,6.91,0.0,6.91,6.91,1,1,0.0,False,382.24100000000016,4.633900000000004,1,2,0,True
CCCCC12CCC(=O)C(c3ccccc3)=C1c1ccc(O)cc1C2,CHEMBL380469,7.39,7.39,0.0,7.39,7.39,1,1,0.0,False,332.4430000000001,5.398600000000005,1,2,1,False
CCCCC12CCC(=O)C(c3ccco3)=C1c1ccc(O)cc1C2,CHEMBL378675,6.71,6.71,0.0,6.71,6.71,1,1,0.0,False,322.4040000000001,4.991600000000005,1,3,0,True
CCCCC12CCC(=O)C(c3ccco3)=C1c1ccc3[nH]nnc3c1C2,CHEMBL214200,5.95,5.95,0.0,5.95,5.95,1,1,0.0,False,347.4180000000001,4.557300000000004,1,4,0,True
CCCCC12CCC(=O)C(c3cccs3)=C1c1ccc(O)cc1C2,CHEMBL209429,7.15,7.15,0.0,7.15,7.15,1,1,0.0,False,338.4720000000001,5.460100000000005,1,3,1,False
CCCCC12CCC(=O)C=C1c1ccc(O)cc1C2,CHEMBL377342,5.19,5.19,0.0,5.19,5.19,1,1,0.0,False,256.345,3.8712000000000026,1,2,0,True
CCCCC1=C2c3ccc(O)cc3CC2(CCCC)CCC1=O,CHEMBL210143,6.56,6.56,0.0,6.56,6.56,1,1,0.0,False,312.45300000000003,5.431600000000004,1,2,1,False
CCCCC1=C2c3ccc(O)cc3CC2(Cc2ccccc2)CCC1=O,CHEMBL385514,7.09,7.09,0.7212489168102781,6.58,7.6,2,2,1.0199999999999996,True,346.4700000000001,5.484100000000004,1,2,1,False
CCCCC1=C2c3ccc4[nH]nnc4c3CC2(CC)CCC1=O,CHEMBL213051,5.95,5.95,0.0,5.95,5.95,1,1,0.0,False,309.41300000000007,4.217100000000003,1,3,0,True
CCCCCC12CCC(=O)C=C1c1ccc(O)cc1C2,CHEMBL381299,5.43,5.43,0.0,5.43,5.43,1,1,0.0,False,270.37200000000007,4.261300000000004,1,2,0,True
