parent_smiles,parent_chembl_id,pStandard,pStandard_mean,pStandard_std,pStandard_min,pStandard_max,n_measurements,n_assays,pStandard_range,activity_conflict,MolWt,MolLogP,HBD,HBA,Lipinski_violations,passes_Lipinski
O=C(CSc1nnc(SCC(=O)c2ccco2)s1)c1ccco1,CHEMBL1604803,4.67,4.67,0.0,4.67,4.67,1,1,0.0,False,366.44500000000005,3.674100000000002,0,9,0,True
O=C(CSc1nnnn1-c1ccccc1)Nc1nsc(-c2ccc(Cl)cc2)n1,CHEMBL1491602,4.68,4.68,0.0,4.68,4.68,1,1,0.0,False,429.9180000000002,3.565000000000002,1,8,0,True
O=C(Cc1cc2ccccc2o1)c1ccc(O)cc1O,CHEMBL370039,4.07,4.07,0.0,4.07,4.07,4,3,0.0,False,268.268,3.2694000000000014,2,4,0,True
O=C(Cc1ccc(S(=O)(=O)N2CCOCC2)s1)Nc1nc2c(s1)CCCC2,CHEMBL1421887,5.33,5.33,0.0,5.33,5.33,1,1,0.0,False,427.57300000000015,2.2855,1,7,0,True
O=C(Cc1cccs1)Nc1ccccn1,CHEMBL1362841,4.87,4.87,0.0,4.87,4.87,1,1,0.0,False,218.281,2.3243,1,3,0,True
O=C(Cc1cccs1)Nc1nnc(COc2ccccc2)s1,CHEMBL1430316,4.43,4.43,0.0,4.43,4.43,1,1,0.0,False,331.42199999999997,3.3598000000000017,1,6,0,True
O=C(Cc1cn2ccsc2n1)OCc1nc2ccccc2s1,CHEMBL1320937,5.16,5.16,0.0,5.16,5.16,1,1,0.0,False,329.406,3.291400000000002,0,6,0,True
O=C(Cc1coc2cc3c(cc12)CCC3)OCc1cc(=O)n2c(n1)sc1ccccc12,CHEMBL1493034,5.32,5.32,0.0,5.32,5.32,1,1,0.0,False,430.48500000000007,4.430000000000003,0,6,0,True
O=C(Cn1c(=O)n(Cc2ccco2)c(=O)c2c3c(sc21)CCCCC3)Nc1ccccc1,CHEMBL1300008,5.14,5.14,0.0,5.14,5.14,1,1,0.0,False,449.53200000000027,3.773600000000002,1,5,0,True
O=C(N/N=C/c1cccc(Oc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1)c1cncc(Br)c1,CHEMBL1732228,4.55,4.55,0.0,4.55,4.55,1,1,0.0,False,486.2380000000001,4.216700000000002,1,8,0,True
O=C(NCc1ccco1)c1cc2c(s1)CSC2,CHEMBL1468708,5.03,5.03,0.0,5.03,5.03,1,1,0.0,False,265.359,3.017900000000002,1,4,0,True
O=C(NCc1ccco1)c1cc2cc3ccc(Cl)cc3nc2o1,CHEMBL1484998,4.75,4.75,0.0,4.75,4.75,1,1,0.0,False,326.7390000000001,4.157400000000002,1,4,0,True
O=C(NCc1ccco1)c1cc2ccc(O)cc2oc1=O,CHEMBL1531320,4.84,4.84,0.0,4.84,4.84,1,1,0.0,False,285.25500000000005,2.0216000000000003,2,5,0,True
O=C(NCc1ccco1)c1cc2ccccc2c(=O)o1,CHEMBL1431650,4.52,4.52,0.0,4.52,4.52,1,1,0.0,False,269.256,2.3160000000000007,1,4,0,True
O=C(NCc1ccco1)c1nn2c(C(F)(F)F)cc(-c3cccs3)nc2c1Br,CHEMBL1399039,4.43,4.43,0.0,4.43,4.43,1,1,0.0,False,471.25800000000004,4.762100000000002,1,5,0,True
O=C(NNC(=O)c1ccc(SCC2CCCO2)c([N+](=O)[O-])c1)c1ccc(Cl)c([N+](=O)[O-])c1,CHEMBL1349347,4.63,4.63,0.0,4.63,4.63,1,1,0.0,False,480.8860000000002,3.5023000000000026,2,8,0,True
O=C(Nc1ccc(-n2nncc2-c2ccco2)cc1)c1cc2ccccc2oc1=O,CHEMBL1347829,4.39,4.39,0.0,4.39,4.39,1,1,0.0,False,398.37800000000016,3.886000000000003,1,6,0,True
